 	Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	FWHM_Mean	Source_Radius	FWHM_Mult	Source_Rad(base)	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_C2	rel_flux_C3	rel_flux_C4	rel_flux_C5	rel_flux_C6	rel_flux_C7	rel_flux_C8	rel_flux_C9	rel_flux_err_T1	rel_flux_err_C2	rel_flux_err_C3	rel_flux_err_C4	rel_flux_err_C5	rel_flux_err_C6	rel_flux_err_C7	rel_flux_err_C8	rel_flux_err_C9	rel_flux_SNR_T1	rel_flux_SNR_C2	rel_flux_SNR_C3	rel_flux_SNR_C4	rel_flux_SNR_C5	rel_flux_SNR_C6	rel_flux_SNR_C7	rel_flux_SNR_C8	rel_flux_SNR_C9	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	RA_T1	DEC_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	X(IJ)_C2	Y(IJ)_C2	X(FITS)_C2	Y(FITS)_C2	RA_C2	DEC_C2	Source-Sky_C2	Source_Error_C2	Source_SNR_C2	Peak_C2	Mean_C2	Sky/Pixel_C2	FWHM_C2	Width_C2	X-Width_C2	Y-Width_C2	Angle_C2	Roundness_C2	X(IJ)_C3	Y(IJ)_C3	X(FITS)_C3	Y(FITS)_C3	RA_C3	DEC_C3	Source-Sky_C3	Source_Error_C3	Source_SNR_C3	Peak_C3	Mean_C3	Sky/Pixel_C3	FWHM_C3	Width_C3	X-Width_C3	Y-Width_C3	Angle_C3	Roundness_C3	X(IJ)_C4	Y(IJ)_C4	X(FITS)_C4	Y(FITS)_C4	RA_C4	DEC_C4	Source-Sky_C4	Source_Error_C4	Source_SNR_C4	Peak_C4	Mean_C4	Sky/Pixel_C4	FWHM_C4	Width_C4	X-Width_C4	Y-Width_C4	Angle_C4	Roundness_C4	X(IJ)_C5	Y(IJ)_C5	X(FITS)_C5	Y(FITS)_C5	RA_C5	DEC_C5	Source-Sky_C5	Source_Error_C5	Source_SNR_C5	Peak_C5	Mean_C5	Sky/Pixel_C5	FWHM_C5	Width_C5	X-Width_C5	Y-Width_C5	Angle_C5	Roundness_C5	X(IJ)_C6	Y(IJ)_C6	X(FITS)_C6	Y(FITS)_C6	RA_C6	DEC_C6	Source-Sky_C6	Source_Error_C6	Source_SNR_C6	Peak_C6	Mean_C6	Sky/Pixel_C6	FWHM_C6	Width_C6	X-Width_C6	Y-Width_C6	Angle_C6	Roundness_C6	X(IJ)_C7	Y(IJ)_C7	X(FITS)_C7	Y(FITS)_C7	RA_C7	DEC_C7	Source-Sky_C7	Source_Error_C7	Source_SNR_C7	Peak_C7	Mean_C7	Sky/Pixel_C7	FWHM_C7	Width_C7	X-Width_C7	Y-Width_C7	Angle_C7	Roundness_C7	X(IJ)_C8	Y(IJ)_C8	X(FITS)_C8	Y(FITS)_C8	RA_C8	DEC_C8	Source-Sky_C8	Source_Error_C8	Source_SNR_C8	Peak_C8	Mean_C8	Sky/Pixel_C8	FWHM_C8	Width_C8	X-Width_C8	Y-Width_C8	Angle_C8	Roundness_C8	X(IJ)_C9	Y(IJ)_C9	X(FITS)_C9	Y(FITS)_C9	RA_C9	DEC_C9	Source-Sky_C9	Source_Error_C9	Source_SNR_C9	Peak_C9	Mean_C9	Sky/Pixel_C9	FWHM_C9	Width_C9	X-Width_C9	Y-Width_C9	Angle_C9	Roundness_C9
50	Autosave Image -0338r_out.fits	50.000000	0.000000	58757.462361	2458757.462361	2458757.462188	2458757.463717	2458757.464492	1.133177	61.900441	-20.000000	30.000000	20.226944	65.161944	7.776382	8.172236	1.200000	6.000000	11.000000	17.000000	0.052606	0.158394	0.177390	0.254265	0.153588	0.102897	0.278876	0.042498	0.025237	0.000228	0.000412	0.000442	0.000559	0.000405	0.000325	0.000594	0.000216	0.000180	230.779190	383.997608	401.615444	454.472225	378.893429	316.360319	469.618594	196.513634	140.456903	3023784.077068	2719.263024	1576.643694	1189.664321	1577.143694	1314.835679	20.225446	65.162372	159069.952832	209.812668	674.265840	235.915782	3520.513916	758.152282	38.732538	460.000000	6.367086	6.627834	6.691875	6.563793	322.877228	0.994935	1984.358856	1641.782659	1984.858856	862.717341	20.236029	65.215215	413459.466326	999.439914	413.691169	8135.977051	1970.612503	51.723282	6.960654	6.826046	6.534900	7.117192	88.334309	0.992725	2238.481037	1466.691344	2238.981037	1037.808656	20.232510	65.252195	455574.000759	1043.228101	436.696443	10434.908203	2171.336963	53.887632	6.366022	6.568869	6.106510	7.031228	87.987148	0.980281	1384.991090	1919.622502	1385.491090	584.877498	20.241306	65.129206	612982.580414	1197.435395	511.912862	9439.276367	2921.570880	67.078931	7.670855	7.074086	7.095589	7.052584	321.592011	0.999290	770.047152	741.304511	770.547152	1763.195489	20.214474	65.053782	402584.106428	988.733744	407.171404	5989.657715	1918.778836	54.216443	8.414118	7.250584	7.639676	6.861493	3.114172	0.988411	1229.614029	1920.201085	1230.114029	584.298915	20.241092	65.107560	282108.806163	851.216184	331.418518	4149.457520	1344.574706	48.935853	8.118492	7.243278	7.296452	7.190104	337.156632	0.999558	2126.363418	660.400865	2126.863418	1844.099135	20.214470	65.243524	659376.903650	1230.482445	535.868599	22020.617188	3142.693483	60.639427	5.053151	5.979826	6.049197	5.910456	32.372321	0.997044	1798.879774	1297.330275	1799.379774	1207.169725	20.228136	65.192410	123266.456662	617.086974	199.755402	2899.175049	587.507218	37.598710	6.128133	6.566830	6.464308	6.669352	296.987848	0.997183	1784.120482	1436.137316	1784.620482	1068.362684	20.231188	65.189135	74431.756667	525.631115	141.604548	1691.700439	354.753397	33.854232	6.366223	6.750508	6.605446	6.895571	286.998452	0.997315
51	Autosave Image -0339r_out.fits	51.000000	0.000000	58757.462917	2458757.462917	2458757.462743	2458757.464272	2458757.465047	1.134010	61.821452	-20.000000	30.000000	20.226944	65.161944	8.082470	8.529229	1.200000	6.000000	11.000000	17.000000	0.052235	0.158961	0.177308	0.257160	0.152576	0.102178	0.278017	0.042527	0.024870	0.000231	0.000416	0.000444	0.000566	0.000406	0.000327	0.000594	0.000220	0.000183	226.416681	381.727365	399.584358	454.644517	375.602964	312.621361	467.667736	193.650344	136.227134	3041179.883250	2750.956017	1575.279423	1191.970334	1575.779423	1312.529666	20.225450	65.162349	158855.060736	228.543768	686.732221	231.320238	3211.371826	695.075005	40.700873	471.000000	6.689744	6.745532	6.512727	6.978337	289.446717	0.992154	1982.849129	1644.128455	1983.349129	860.371545	20.236032	65.215189	417123.411646	1014.307465	411.239615	7547.439941	1825.135794	57.296187	7.069495	6.902624	6.497129	7.308118	277.615966	0.985274	2237.107226	1468.973523	2237.607226	1035.526477	20.232513	65.252186	458015.457923	1053.968506	434.562755	9313.532227	2004.060149	59.591845	6.450514	6.750506	6.235821	7.265191	274.060491	0.976547	1383.638640	1922.039267	1384.138640	582.460733	20.241308	65.129212	622092.178803	1211.996303	513.278941	8601.514648	2721.982682	68.795809	8.537405	7.311180	7.119434	7.502926	284.504197	0.996408	768.694508	743.685714	769.194508	1760.814286	20.214474	65.053760	402585.902509	997.922152	403.424157	5521.956543	1761.526494	58.462029	8.448532	7.278401	7.566701	6.990102	351.588536	0.993172	1228.204023	1922.732138	1228.704023	581.767862	20.241095	65.107558	281934.586049	861.425131	327.288554	3788.210938	1233.613099	54.149636	8.780752	7.293788	7.269643	7.317934	309.587810	0.998757	2125.066009	662.622527	2125.566009	1841.877473	20.214474	65.243514	661571.656171	1238.887280	534.004721	17732.468750	2894.726300	60.576309	5.600378	6.260562	6.070438	6.450686	279.884016	0.995842	1797.443393	1299.618078	1797.943393	1204.881922	20.228140	65.192381	124056.778200	630.419963	196.784343	2789.259521	542.814093	37.581751	6.474856	6.727229	6.421946	7.032513	286.479879	0.988347	1782.800494	1438.433169	1783.300494	1066.066831	20.231192	65.189126	73799.911947	537.570295	137.284207	1461.595337	322.913692	34.681612	6.914171	6.808657	6.493905	7.123409	282.708195	0.989566
52	Autosave Image -0340r_out.fits	52.000000	0.000000	58757.463461	2458757.463461	2458757.463287	2458757.464816	2458757.465591	1.134828	61.744171	-20.000000	30.000000	20.226944	65.161944	7.988126	8.291095	1.200000	6.000000	11.000000	17.000000	0.052607	0.158771	0.177403	0.257142	0.151656	0.101568	0.280951	0.041760	0.025074	0.000230	0.000416	0.000444	0.000566	0.000405	0.000325	0.000600	0.000217	0.000182	228.659538	381.606386	399.961738	454.467035	374.700738	312.899646	468.594413	192.368628	137.608456	3016866.785064	2727.674073	1573.878892	1196.170648	1574.378892	1308.329352	20.225455	65.162422	158708.682971	215.960193	679.087830	233.708625	3364.370605	734.897858	38.172657	437.000000	6.402345	6.704117	6.711261	6.696972	315.988316	0.996182	1981.493753	1648.308484	1981.993753	856.191516	20.236037	65.215240	413361.835758	1005.630675	411.047362	7760.579102	1914.064952	58.871179	6.822274	6.765447	6.360519	7.170375	277.544574	0.984739	2235.726523	1473.164746	2236.226523	1031.335254	20.232518	65.252240	454561.718022	1044.924415	435.018755	9803.984375	2104.840307	57.360098	6.365663	6.681905	6.327640	7.036169	272.574169	0.988728	1382.313633	1926.327466	1382.813633	578.172534	20.241317	65.129254	617085.680477	1203.090407	512.917132	8871.292969	2857.404752	72.722038	8.279728	7.205372	7.100904	7.309841	297.542446	0.997434	767.261156	747.949772	767.761156	1756.550228	20.214483	65.053821	397277.160174	987.647224	402.246015	5569.217285	1839.585136	62.571001	8.936469	7.263768	7.542128	6.985408	3.524303	0.994053	1226.937999	1926.875039	1227.437999	577.624961	20.241102	65.107612	278164.884502	849.110401	327.595663	3923.058350	1288.037768	49.602574	8.697556	7.248405	7.335494	7.161316	344.124039	0.999202	2123.647165	666.822274	2124.147165	1837.677726	20.214476	65.243566	661688.852521	1235.805114	535.431392	19701.802734	3063.938981	64.549636	5.207702	6.132421	6.144482	6.120361	38.841318	0.999660	1796.102253	1303.762129	1796.602253	1200.737871	20.228144	65.192457	120933.442147	618.788868	195.435710	2629.693359	559.980248	40.895009	6.480833	6.641639	6.505559	6.777720	283.414146	0.997893	1781.478022	1442.567457	1781.978022	1061.932543	20.231196	65.189200	73793.211463	532.043023	138.697828	1591.197998	341.698211	35.811692	6.618100	6.734911	6.544769	6.925054	289.069536	0.994854
53	Autosave Image -0341r_out.fits	53.000000	0.000000	58757.464016	2458757.464016	2458757.463843	2458757.465372	2458757.466147	1.135667	61.665310	-20.000000	30.000000	20.226944	65.161944	7.832247	8.383218	1.200000	6.000000	11.000000	17.000000	0.052774	0.157665	0.177192	0.258207	0.153960	0.101518	0.277608	0.042215	0.025321	0.000228	0.000409	0.000439	0.000562	0.000404	0.000322	0.000589	0.000215	0.000181	231.418067	385.796800	403.842122	459.553865	381.231176	315.109645	471.678892	195.986746	139.947383	3072973.462302	2749.488266	1572.387629	1193.213165	1572.887629	1311.286835	20.225444	65.162328	162173.536274	220.785947	685.594904	236.544256	3500.349121	734.528344	38.239421	437.000000	6.500565	6.596735	6.422306	6.771164	286.091319	0.996101	1979.938458	1645.425634	1980.438458	859.074366	20.236029	65.215155	418514.182731	1007.020387	415.596534	8172.676758	1895.565309	50.211963	6.890552	6.857449	6.428525	7.286373	271.176777	0.984446	2234.161026	1470.167892	2234.661026	1034.332108	20.232508	65.252161	462546.846780	1053.252374	439.160507	10316.015625	2095.001299	52.972100	6.363270	6.633235	6.105239	7.161230	85.357576	0.974306	1380.717463	1923.369848	1381.217463	581.130152	20.241306	65.129165	630629.448787	1215.571481	518.792567	9421.857422	2856.293419	62.025868	7.756817	7.209776	7.065708	7.353845	282.740603	0.998042	765.854763	744.876157	766.354763	1759.623843	20.214474	65.053769	409992.852158	1000.558706	409.763915	5823.864746	1856.969870	55.296312	8.385144	7.287614	7.583987	6.991240	3.500374	0.993307	1225.338064	1923.986878	1225.838064	580.513122	20.241093	65.107521	283211.169402	858.765905	329.788558	4074.638184	1282.740920	48.163641	8.465857	7.151447	7.013443	7.289451	275.637377	0.998452	2121.965404	663.960089	2122.465404	1840.539911	20.214469	65.243484	667718.298166	1240.996487	538.050111	20525.332031	3024.278972	57.696243	5.195964	5.966863	5.796257	6.137469	60.447890	0.987618	1794.558492	1300.859600	1795.058492	1203.640400	20.228134	65.192359	124471.686712	624.963222	199.166419	2785.411621	563.766345	34.974779	6.340466	6.585691	6.287646	6.883736	278.167904	0.991140	1779.979691	1439.677659	1780.479691	1064.822341	20.231186	65.189109	75888.977566	537.952751	141.069968	1608.380371	343.721955	33.059392	6.603465	6.725962	6.452293	6.999630	270.156087	0.993399
54	Autosave Image -0342r_out.fits	54.000000	0.000000	58757.464560	2458757.464560	2458757.464387	2458757.465916	2458757.466691	1.136490	61.588155	-20.000000	30.000000	20.226944	65.161944	7.701012	8.291981	1.200000	6.000000	11.000000	17.000000	0.052551	0.158454	0.177663	0.255148	0.153425	0.102123	0.278556	0.042704	0.025197	0.000227	0.000410	0.000438	0.000556	0.000404	0.000322	0.000589	0.000216	0.000180	231.288156	386.742796	405.206602	458.891673	380.017707	317.285522	472.930458	198.056722	139.979798	3068844.682572	2741.267047	1569.866923	1186.309478	1570.366923	1318.190522	0.000000	0.000000	161270.544521	216.006342	682.227842	236.388102	3538.281006	746.600971	38.584922	430.000000	6.414524	6.623490	6.591276	6.655704	299.859404	0.999628	1977.469955	1638.492507	1977.969955	866.007493	20.231186	65.189109	419758.857840	1007.389696	416.679721	8339.930664	1943.270991	47.949815	6.784042	6.736264	6.338064	7.134465	87.794446	0.986037	2231.817658	1463.304439	2232.317658	1041.195561	20.231186	65.189109	462967.483072	1050.257024	440.813508	10737.657227	2143.305049	48.542586	5.929622	6.532114	6.028888	7.035340	79.729193	0.973245	1378.393660	1916.340702	1378.893660	588.159298	20.231186	65.189109	623837.841790	1205.617963	517.442391	9305.197266	2888.053362	61.358339	8.128247	7.143281	6.927237	7.359326	273.045856	0.996306	763.308855	737.997460	763.808855	1766.502540	20.231186	65.189109	408208.302931	1000.266312	408.099621	5990.787598	1889.797769	57.691200	8.725716	7.206226	7.455589	6.956863	6.733479	0.994948	1222.972545	1916.941486	1223.472545	587.558514	20.231186	65.189109	284360.001434	855.857989	332.251384	4209.588867	1316.442837	45.435609	8.301714	7.220261	7.218952	7.221570	45.647225	0.999742	2119.658086	657.045127	2120.158086	1847.454873	20.231186	65.189109	668601.478909	1238.816772	539.709741	21429.740234	3095.286339	57.312934	5.023547	5.915326	5.739665	6.090987	57.831489	0.981226	1792.031472	1294.066492	1792.531472	1210.433508	20.231186	65.189109	125684.921929	624.269201	201.331287	3065.637207	581.857555	36.157444	6.059930	6.578683	6.362645	6.794721	89.170542	0.995692	1777.502068	1432.696299	1778.002068	1071.803701	20.231186	65.189109	75425.794667	534.557679	141.099450	1735.369263	349.183242	33.659918	6.109518	6.650207	6.359531	6.940883	86.361520	0.992263
55	Autosave Image -0343r_out.fits	55.000000	0.000000	58757.465116	2458757.465116	2458757.464942	2458757.466471	2458757.467246	1.137334	61.509423	-20.000000	30.000000	20.226944	65.161944	7.932588	8.479935	1.200000	6.000000	11.000000	17.000000	0.052194	0.158365	0.177764	0.257406	0.152585	0.101794	0.278971	0.042177	0.024878	0.000231	0.000414	0.000443	0.000564	0.000405	0.000325	0.000595	0.000220	0.000182	226.321528	382.836029	401.653053	456.408804	376.958652	313.111430	469.080929	192.147110	136.320176	3054190.008428	2754.372388	1568.703915	1187.193301	1569.203915	1317.306699	20.225446	65.162318	159409.327114	225.909712	689.521769	231.188244	3469.325439	705.632910	45.963063	460.000000	6.295431	6.673534	6.510808	6.836259	298.490881	0.992000	1976.288067	1639.372559	1976.788067	865.127441	20.236032	65.215159	417552.187853	1012.435371	412.423548	7931.077148	1848.314466	55.142897	6.888470	6.872895	6.434194	7.311597	281.630498	0.980848	2230.577100	1464.162320	2231.077100	1040.337680	20.232511	65.252161	460980.139162	1054.824854	437.020551	9958.825195	2040.550342	56.437128	6.429517	6.647934	6.089428	7.206440	273.227308	0.971806	1377.115932	1917.316453	1377.615932	587.183547	20.241311	65.129193	625229.311259	1213.020363	515.431835	8995.469727	2767.607054	64.134742	8.156132	7.249991	7.025434	7.474548	288.364865	0.994037	762.123173	738.812180	762.623173	1765.687820	20.214470	65.053741	404329.271136	998.535025	404.922472	5677.911621	1789.782601	56.752572	8.685310	7.272057	7.537066	7.007047	4.482901	0.994570	1221.610087	1918.027723	1222.110087	586.472277	20.241098	65.107529	282174.996722	860.943503	327.750887	3864.622314	1249.060940	53.700170	8.812111	7.342149	7.158231	7.526066	284.737409	0.996692	2118.384814	657.861320	2118.884814	1846.638680	20.214472	65.243483	666184.988566	1243.747904	535.627024	19464.654297	2948.899293	64.037640	5.416604	6.123413	5.953488	6.293339	274.242239	0.996856	1790.907259	1294.855025	1791.407259	1209.644975	20.228137	65.192354	123602.462682	633.256701	195.185400	2636.213867	547.132135	39.753406	6.307093	6.705652	6.446969	6.964336	289.770515	0.990020	1776.208158	1433.603324	1776.708158	1070.896676	20.231188	65.189092	74136.651048	539.675076	137.372753	1554.561035	328.169385	38.366750	6.701611	6.708726	6.437571	6.979880	286.058438	0.990920
56	Autosave Image -0344r_out.fits	56.000000	0.000000	58757.465671	2458757.465671	2458757.465498	2458757.467027	2458757.467802	1.138180	61.430756	-20.000000	30.000000	20.226944	65.161944	7.642334	8.130855	1.200000	6.000000	11.000000	17.000000	0.052730	0.159477	0.178341	0.255490	0.152710	0.101132	0.277867	0.042891	0.025341	0.000228	0.000414	0.000443	0.000561	0.000404	0.000322	0.000592	0.000218	0.000183	231.002586	384.998444	402.861995	455.782391	377.960323	313.807536	469.266687	197.037196	138.347899	3024156.793559	2720.113836	1567.307730	1192.511542	1567.807730	1311.988458	20.225442	65.162332	159465.279233	207.693208	675.252653	236.156464	3761.693115	767.792461	41.379109	374.000000	6.163385	6.531118	6.599662	6.462574	326.141519	0.996936	1974.898383	1644.629483	1975.398383	859.870517	20.236028	65.215165	415949.124723	1002.306332	414.992015	8514.977539	2002.709326	58.232257	6.803794	6.746898	6.437851	7.055945	276.947054	0.991131	2229.218362	1469.417273	2229.718362	1035.082727	20.232507	65.252180	457703.491256	1044.094704	438.373540	10700.066406	2203.747997	54.867838	5.982322	6.510237	6.178419	6.842055	272.129694	0.989605	1375.671071	1922.646461	1376.171071	581.853539	20.241308	65.129184	615411.369833	1197.387574	513.961714	9155.576172	2963.078936	69.054245	8.151083	7.121764	7.158976	7.084551	323.814791	0.998809	760.636210	744.271211	761.136210	1760.228789	20.214467	65.053738	400637.377457	986.791633	405.999974	5845.762695	1928.986418	54.738865	8.426236	7.210942	7.619472	6.802413	5.430821	0.986774	1220.286255	1923.259118	1220.786255	581.240882	20.241093	65.107540	277749.322007	845.594899	328.466175	4236.091797	1337.305753	51.910513	8.118964	7.196090	7.166491	7.225689	303.654919	0.999545	2117.029818	663.093229	2117.529818	1841.406771	20.214467	65.243521	657591.002565	1228.377266	535.333094	22164.093750	3166.165176	57.331898	4.933442	5.947508	6.048899	5.846117	25.085862	0.997168	1789.589672	1300.125582	1790.089672	1204.374418	20.228132	65.192379	124373.302227	620.913339	200.307023	3025.035156	598.831822	38.252282	5.866074	6.526976	6.344172	6.709780	284.529308	0.995900	1774.861646	1438.963914	1775.361646	1065.536086	20.231185	65.189108	74741.803491	536.001868	139.443177	1745.022339	359.866383	38.939636	6.403114	6.679947	6.407607	6.952287	281.422247	0.992197
57	Autosave Image -0345r_out.fits	57.000000	0.000000	58757.466215	2458757.466215	2458757.466042	2458757.467571	2458757.468346	1.139011	61.353793	-20.000000	30.000000	20.226944	65.161944	7.883688	8.377746	1.200000	6.000000	11.000000	17.000000	0.052708	0.159853	0.177374	0.258407	0.152958	0.100951	0.276567	0.042528	0.024990	0.000231	0.000417	0.000443	0.000568	0.000407	0.000324	0.000593	0.000219	0.000183	228.001763	383.555919	400.020112	454.718101	375.605392	311.275171	466.248411	194.499957	136.876746	3025246.045894	2736.364664	1565.215664	1191.426008	1565.715664	1313.073992	0.000000	0.000000	159454.889969	220.497808	684.324448	233.010658	3514.558594	723.158616	40.702682	467.000000	6.347732	6.697983	6.620197	6.775768	305.330954	0.995082	1972.813507	1643.612185	1973.313507	860.887815	20.231185	65.189108	416944.531425	1008.124680	413.584291	7659.094238	1890.923698	57.589714	7.046138	6.850733	6.547392	7.154074	276.242344	0.991805	2226.989899	1468.372808	2227.489899	1036.127192	20.231185	65.189108	455759.284706	1047.396175	435.135525	9520.761719	2066.956075	55.896403	6.297212	6.667364	6.235844	7.098884	89.730720	0.983383	1373.582461	1921.563980	1374.082461	582.936020	20.231185	65.189108	621217.187609	1210.031309	513.389350	8793.334961	2817.339510	68.933962	8.447954	7.207049	7.115942	7.298155	290.788688	0.998858	758.687232	743.224471	759.187232	1761.275529	20.231185	65.189108	401345.763019	994.851967	403.422596	5609.775879	1820.180281	62.183425	8.522978	7.303535	7.688798	6.918272	359.416872	0.988927	1218.198403	1922.285515	1218.698403	582.214485	20.231185	65.189108	277397.224291	851.620228	325.728788	3821.152344	1258.049802	53.660018	8.410689	7.269407	7.187347	7.351467	294.585127	0.998808	2114.920044	662.046101	2115.420044	1842.453899	20.231185	65.189108	655415.829943	1232.703725	531.689664	18908.132812	2972.436935	61.679820	5.311612	6.176098	6.071840	6.280356	74.169210	0.998428	1787.436931	1299.129560	1787.936931	1205.370440	20.231185	65.189108	123409.161040	624.296239	197.677246	2624.837402	559.684298	39.642468	6.288631	6.628819	6.376626	6.881012	284.514820	0.992449	1772.736963	1437.876009	1773.236963	1066.623991	20.231185	65.189108	73757.063861	534.668092	137.949253	1487.450195	334.502480	38.920881	6.637912	6.821111	6.567113	7.075108	278.695624	0.993926
58	Autosave Image -0346r_out.fits	58.000000	0.000000	58757.466759	2458757.466759	2458757.466586	2458757.468115	2458757.468890	1.139845	61.276892	-20.000000	30.000000	20.226944	65.161944	7.683473	8.175397	1.200000	6.000000	11.000000	17.000000	0.052922	0.158480	0.178364	0.257230	0.152938	0.100808	0.278783	0.042436	0.024897	0.000229	0.000411	0.000442	0.000561	0.000403	0.000321	0.000591	0.000215	0.000179	231.176581	385.870164	403.911453	458.423514	379.130391	313.610977	471.373386	197.018061	138.998650	3048172.801324	2731.438794	1563.725899	1185.926608	1564.225899	1318.573392	20.225448	65.162326	161313.978927	209.974989	682.658996	236.302429	3725.143066	768.253303	42.109373	459.000000	6.170781	6.636645	6.609766	6.663524	309.069247	0.998447	1971.396920	1637.965823	1971.896920	866.534177	20.236029	65.215188	416988.858952	1002.831101	415.811654	8775.013672	1985.897752	52.979628	6.460323	6.697611	6.326512	7.068710	87.779977	0.987721	2225.620521	1462.731683	2226.120521	1041.768317	20.232509	65.252182	461389.283316	1050.037494	439.402674	11198.647461	2197.353529	56.395792	6.121175	6.486759	6.004731	6.968787	87.073064	0.977925	1372.159055	1915.929739	1372.659055	588.570261	20.241306	65.129212	623657.162736	1205.528066	517.331102	9186.675781	2970.149756	65.560833	8.273566	7.190859	7.095262	7.286457	270.835047	0.999293	757.136767	737.564263	757.636767	1766.935737	20.214473	65.053738	404341.055678	992.959831	407.207868	5918.584961	1925.662944	57.741158	8.412235	7.168518	7.560173	6.776862	1.619478	0.988093	1216.753848	1916.577070	1217.253848	587.922930	20.241092	65.107561	279141.137378	850.759840	328.108033	4155.391602	1329.401842	50.548748	8.460029	7.244938	7.278227	7.211648	330.873204	0.999695	2113.522713	656.406657	2114.022713	1848.093343	20.214470	65.243513	664521.192721	1235.384699	537.906284	22590.517578	3164.763553	61.952232	4.955729	5.910977	5.820738	6.001216	61.081326	0.996712	1785.997364	1293.463214	1786.497364	1211.036786	20.228136	65.192375	124086.311101	619.622272	200.261218	2909.820068	590.957578	40.950247	5.968973	6.491388	6.440080	6.542697	292.198020	0.999511	1771.342460	1432.267144	1771.842460	1072.232856	20.231188	65.189119	74047.799442	528.528489	140.101813	1620.935059	352.650569	39.567832	6.444754	6.590827	6.386078	6.795577	282.524268	0.995306
59	Autosave Image -0347r_out.fits	59.000000	0.000000	58757.467315	2458757.467315	2458757.467141	2458757.468670	2458757.469446	1.140700	61.198422	-20.000000	30.000000	20.226944	65.161944	7.664710	8.205145	1.200000	6.000000	11.000000	17.000000	0.052654	0.159244	0.177897	0.257757	0.150942	0.101680	0.279357	0.042210	0.024976	0.000227	0.000411	0.000440	0.000561	0.000399	0.000322	0.000591	0.000215	0.000178	231.790117	387.243897	404.194780	459.709768	378.250724	315.698831	472.406391	196.601666	140.053865	3056857.508280	2733.501031	1562.160561	1185.600444	1562.660561	1318.899556	20.225443	65.162331	160957.146050	211.505871	679.328894	236.935522	3794.106689	761.005572	39.732840	455.000000	6.202823	6.559820	6.517781	6.601860	308.674941	0.996575	1969.679626	1637.895489	1970.179626	866.604511	20.236028	65.215157	419917.202189	1006.007143	417.409762	8369.332031	1985.369015	52.895191	6.715154	6.758213	6.343387	7.173038	278.731425	0.983562	2223.986848	1462.644155	2224.486848	1041.855845	20.232507	65.252173	461675.480976	1050.278113	439.574504	10670.297852	2182.802205	53.371897	6.257481	6.494564	6.076028	6.913099	272.980410	0.983345	1370.701984	1915.802211	1371.201984	588.697789	20.241307	65.129198	626454.241563	1207.224811	518.920947	9615.129883	2961.876375	61.273478	8.119818	7.147892	7.054087	7.241698	299.047742	0.997534	755.675985	737.356179	756.175985	1767.143821	20.214474	65.053762	400897.099737	987.577080	405.940060	5900.093750	1895.441949	54.341160	8.253476	7.223832	7.615081	6.832583	1.231289	0.988313	1215.273091	1916.448428	1215.773091	588.051572	20.241094	65.107543	282133.656987	853.784604	330.450626	4185.460938	1333.928255	49.419215	8.322688	7.210501	7.205574	7.215428	313.803995	0.998928	2111.875646	656.343646	2112.375646	1848.156354	20.214471	65.243517	667487.950572	1238.122239	539.113126	20854.875000	3155.883799	60.633917	5.086417	5.964465	5.906410	6.022520	75.243018	0.999500	1784.333022	1293.330317	1784.833022	1211.169683	20.228134	65.192364	123803.155119	619.607374	199.809041	3045.813477	585.341460	39.588172	6.033994	6.469283	6.315840	6.622727	297.641460	0.993070	1769.787239	1432.106976	1770.287239	1072.393024	20.231186	65.189118	74488.721136	527.622065	141.178177	1670.331909	352.182759	34.273845	6.307069	6.653356	6.391076	6.915637	283.931726	0.992071
