Object:,Quatar 1B HD (exoplanet)
Observation start: ,2019-09-30 22:29:54
Observation stop: ,2019-10-01 00:56:34
Datetime,BJD_TDB,Duration (seconds),Relative flux T1,Relative flux C2,Relative flux C3,Relative flux C4,Relative flux C5,Relative flux C6,Relative flux C7,Relative flux C8,Relative flux C9
2019-09-30 22:29:54,2458757.437431,0,0.9911774259117073,0.9979223491126551,0.9902108715395238,1.0028509335411735,0.9966297939515678,0.9912481887563698,1.0105038547548217,0.9999826752828259,1.0152890667389218
2019-09-30 22:30:41,2458757.437975,47,1.005857124515068,0.9907416443855892,0.9928310558987625,0.9962220316456151,1.0083775505839914,0.999732747858337,1.0085767614437318,1.0010221583132655,1.0076809057182003
2019-09-30 22:31:38,2458757.438635,104,1.0076237378841035,1.0014685319392025,0.9871530546748876,1.0092931058058714,0.9994256287702341,1.0057496078472177,0.9990668968731745,0.9902493341796196,1.0034363527276926
2019-09-30 22:32:26,2458757.43919,152,1.0008550423034517,0.9915619357867478,0.991927737522237,1.0082972144412805,0.9959341167431673,0.9953085861018072,1.0097789518705755,1.0004787921837175,0.9938660870226796
2019-09-30 22:33:13,2458757.439735,199,0.9992288284629423,0.993006910639558,0.9773904834006364,1.009444823630946,1.0142120509450108,1.0118254566595186,0.9977893452553942,0.9970059738774766,1.0029558372948049
2019-09-30 22:34:01,2458757.44029,247,1.0027895287607034,0.9917259940669795,0.9866480940917368,1.0036406442716892,0.9930004590813275,1.0105768598971203,1.010284948438292,1.00135290291386,1.0088021083949383
2019-09-30 22:34:48,2458757.440834,294,1.0021107673048086,0.9984776232919008,0.9839942456936214,1.0054301365674385,1.008180660808029,1.0004799396216622,1.0019055017317824,1.0001716721974514,1.0015142909961419
2019-09-30 22:35:36,2458757.44139,342,1.004074491585421,0.9898330139104595,0.9906933894300903,1.0009641862293508,1.00827910569601,0.9905796487576053,1.0068972834742898,1.0204179666766942,1.0043172976879866
2019-09-30 22:36:24,2458757.441946,390,0.9959993932920235,1.0044657505203591,1.0020662238972784,0.9919894933461033,0.9972007743018588,0.9909237502275576,1.0032835349374782,1.0146535607806202,1.0190931472492828
2019-09-30 22:37:11,2458757.442489,437,0.9991495173432858,0.9928365424254713,0.9935436113883198,1.0057141212143728,0.996957943578172,1.0062411813757208,1.0003767461442135,1.0061014503938224,1.0109644278429328
2019-09-30 22:37:59,2458757.443045,485,0.9988634554445198,0.9914483569773564,0.9974261972054358,0.9979998533394355,1.00155860134316,0.9994181408000948,1.0115158478902546,0.9891626019205236,0.9995121433591099
2019-09-30 22:38:46,2458757.443589,532,1.0023499007038807,0.995644462990976,0.9911534646280722,1.0122924505015731,0.9914712818213529,1.0094167463698525,1.001270314551032,1.0005732906410303,0.9830144468299663
2019-09-30 22:39:34,2458757.444145,580,1.003310537947928,1.0015884206824488,0.9973027623962212,0.9959147057948233,0.9953500104078122,0.9840810467107914,1.0154095094219733,1.0081095426117168,0.9894213192684687
2019-09-30 22:40:21,2458757.444689,627,0.996454502872813,0.9935558748849488,0.9952380346784486,1.002578619496168,0.992462293693697,0.9949546531612847,1.0102670052975928,1.0097632656146889,1.004397383593468
2019-09-30 22:41:09,2458757.445244,675,0.9936742941738687,0.9978907994433797,0.992393423393365,1.0045003786137776,1.0064742827496882,1.0035276954983827,0.9977211613207374,0.9983525768941821,0.9957080628487491
2019-09-30 22:41:56,2458757.445788,722,1.0044755759938135,1.0014496021376371,0.9910131977994192,1.0076981235422688,0.9971285813840061,1.004156909614867,0.9975847934514236,1.001919893657736,1.001714505759845
2019-09-30 22:42:44,2458757.446344,770,0.9966892677164833,1.0093180896549054,1.0136298212514343,0.9940629702887869,0.9712966427777383,1.0062903387285713,1.0020813445106342,1.0131652100779456,1.0008736037522916
2019-09-30 22:43:31,2458757.446888,817,0.9844115302674555,0.9990202776034366,1.022797661172197,0.9787316895549862,0.9811608205534549,0.9693633352674021,1.0354448203266597,0.9999590506684978,0.9752060710455416
2019-09-30 22:44:19,2458757.447443,865,1.0036525963855996,1.001127795511029,0.9854474100384667,1.0069045226111102,1.0114949720367294,1.0125529854817035,0.9900953265235926,1.0075189272535126,0.9846962508450731
2019-09-30 22:45:06,2458757.447987,912,0.9982059646695414,0.9967045318786271,0.999008407032642,1.0003884365341968,0.9994715697179587,1.003291740204701,0.9990812513857339,1.0002897952690921,1.015609410360847
2019-09-30 22:45:54,2458757.448543,960,1.0033385912915227,0.9918332629425156,0.9911198005891955,1.0039324093199091,1.0091847986654372,0.9911498740506691,1.0044821367361825,1.006455819608745,1.0054785433174653
2019-09-30 22:46:41,2458757.449087,1007,1.0019879628284882,0.9974364842058148,0.9874111456396093,1.0036134128671887,1.007681873375591,0.9974026893332313,1.000559766179345,1.0084166625979831,1.0099633540244168
2019-09-30 22:47:29,2458757.449642,1055,1.0061163998221168,0.9929879808379929,0.9923148739693193,1.0033994518318272,1.0087385151732557,1.0033408975575515,0.9977606362302756,1.0029830013025036,1.0099233110716763
2019-09-30 22:48:16,2458757.450186,1102,0.9902711875563898,1.0027683783133463,0.9864461098584764,1.027145236556293,1.0039147156621768,1.030839520742027,0.9632057358718253,0.9998645522111851,1.0132068331964086
2019-09-30 22:49:04,2458757.450742,1150,1.0229454787643613,0.9825576601755676,0.974871291158028,1.0059008508452334,1.0402015013720483,1.006251012846291,0.9983527598733478,0.9928716663700465,0.9907026937561692
